# experiment=time_to_quality engine=helix-f3270d5 date=20260808-032642
# suite=tests/data/stockfish-bench-all.epd nmp=on reps=3 positions=309
fen_id,fen,budget_ms,rep,nmp,bestmove,completed_depth,nodes,time_ms,stop_reason
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,500,1,on,f5d3,7,982016,475,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,500,2,on,f5d3,7,984064,475,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,1000,0,on,f5d3,8,1613824,950,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,1000,1,on,f5d3,8,1607680,949,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,1000,2,on,f5d3,8,1623040,951,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,2000,0,on,f5d3,8,3075072,1901,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,2000,1,on,f5d3,8,3112960,1900,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,2000,2,on,f5d3,8,3060736,1899,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,5000,0,on,f5d3,8,6930432,4749,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,5000,1,on,f5d3,8,6903808,4749,hard_time
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,5000,2,on,f5d3,8,6945792,4749,hard_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,10,0,on,f7e6,4,15360,9,hard_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,10,1,on,f7e6,4,15360,9,hard_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,10,2,on,f7e6,4,14336,8,hard_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,25,0,on,f7e6,5,43008,22,hard_time
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,25,1,on,f7e6,5,47104,23,hard_time
