# experiment=pvs_sweep engine=helix-f3270d5 date=20260808-073948
# suite=tests/data/stockfish-bench-all.epd budget_ms=1000 reps=3 min_depth=1..6 scout_after=1..5 positions=309
fen_id,fen,min_depth,scout_after,rep,completed_depth,seldepth,nodes,qnodes,researches,tt_probes,tt_hits,tt_hit_rate,time_ms,bestmove
46,r2r1n2/pp2bk2/2p1p2p/3q4/3PN1QP/2P3R1/P4PP1/5RK1 w - - 0 1,1,1,0,7,16,1336320,715863,37,476227,124553,0.2615,950,c3c4
46,r2r1n2/pp2bk2/2p1p2p/3q4/3PN1QP/2P3R1/P4PP1/5RK1 w - - 0 1,1,1,1,7,16,1336320,715863,37,476227,124553,0.2615,950,c3c4
46,r2r1n2/pp2bk2/2p1p2p/3q4/3PN1QP/2P3R1/P4PP1/5RK1 w - - 0 1,1,1,2,7,16,1331200,712894,37,474076,123984,0.2615,949,c3c4
47,8/8/8/8/8/6k1/6p1/6K1 w - - 0 1,1,1,0,0,0,0,0,0,0,0,0.0000,0,0000
47,8/8/8/8/8/6k1/6p1/6K1 w - - 0 1,1,1,1,0,0,0,0,0,0,0,0.0000,0,0000
47,8/8/8/8/8/6k1/6p1/6K1 w - - 0 1,1,1,2,0,0,0,0,0,0,0,0.0000,0,0000
48,7k/7P/6K1/8/3B4/8/8/8 b - - 0 1,1,1,0,0,0,0,0,0,0,0,0.0000,0,0000
48,7k/7P/6K1/8/3B4/8/8/8 b - - 0 1,1,1,1,0,0,0,0,0,0,0,0.0000,0,0000
48,7k/7P/6K1/8/3B4/8/8/8 b - - 0 1,1,1,2,0,0,0,0,0,0,0,0.0000,0,0000
49,bb1n1rkr/ppp1Q1pp/3n1p2/3p4/3P4/6Pq/PPP1PP1P/BB1NNRKR w KQkq - 0 5,1,1,0,8,21,1567047,925750,112,350189,36991,0.1056,911,e7e3
