# experiment=tree_reuse engine=helix-f3270d5 date=20260808-145828
# games=tests/data/thesis-games.txt budget_ms=500 mode=clear game_count=30
game_id,ply,side,mode,completed_depth,seldepth,nodes,qnodes,researches,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,played_move
2,44,w,clear,7,22,803840,514071,19,169414,13644,34173,385,0.0805,475,h4h5,h4h5
2,45,b,clear,7,22,715776,486738,19,181339,15015,33520,375,0.0828,474,g6g5,g6g5
2,46,w,clear,6,23,700416,480770,23,187066,14860,32172,327,0.0794,475,f1e1,f1c1
2,47,b,clear,6,23,637952,474789,28,200815,10934,26963,288,0.0544,475,a8d8,f8g8
2,48,w,clear,6,23,801792,502217,18,167272,17408,36199,555,0.1041,474,h6h7,h6h7
2,49,b,clear,8,24,700709,447056,11,161342,17169,35106,402,0.1064,441,g8f8,e8d7
2,50,w,clear,6,19,532974,349886,22,133258,11390,29190,334,0.0855,363,h5h6,h5h6
2,51,b,clear,7,22,831488,507595,11,157174,19790,36968,510,0.1259,475,g8h8,a8d8
2,52,w,clear,6,22,751616,488869,18,178319,13954,35133,468,0.0783,474,d2d1,d2d1
2,53,b,clear,6,22,607232,433595,29,203174,15501,36711,485,0.0763,474,a6b5,g5g4
2,54,w,clear,6,23,504036,379936,31,157708,7642,21266,148,0.0485,394,b2b3,h7f5
2,55,b,clear,7,24,716800,501383,16,171904,11833,29298,321,0.0688,474,d7c7,d7e8
2,56,w,clear,7,24,759808,497142,24,166605,15143,35142,348,0.0909,475,h6h7,h6h7
2,57,b,clear,7,23,624409,414991,29,149892,16086,32801,316,0.1073,416,g8f8,e8f8
2,58,w,clear,7,23,784384,498811,10,148690,12333,35942,509,0.0829,474,h7g8n,h7g8n
2,59,b,clear,7,22,772096,506006,27,172340,12617,32531,446,0.0732,475,f8g8,a6b5
2,60,w,clear,7,21,737280,493878,75,162441,16880,38293,409,0.1039,475,f5h7,f5h7
2,61,b,clear,6,20,664576,458146,87,168999,15920,41223,470,0.0942,474,e5f7,b5b4
2,62,w,clear,9,21,988160,541603,6,139537,36669,52922,941,0.2628,475,h7e7,h7e7
2,63,b,clear,9,22,924672,522514,36,150423,19887,48179,831,0.1322,474,f8g8,f8g8
2,64,w,clear,8,21,919552,519850,36,149814,19838,47972,829,0.1324,475,e7d8,e7d8
2,65,b,clear,8,18,759803,424681,29,118009,11947,34790,419,0.1012,380,g8g7,g8h7
3,0,w,clear,8,21,776870,418051,35,193726,31254,54047,840,0.1613,464,e2e4,c2c4
3,1,b,clear,8,21,795648,433320,19,190724,24973,52512,941,0.1309,475,e7e5,g7g6
3,2,w,clear,7,18,932864,482062,61,160480,30146,51007,750,0.1878,474,b1c3,d2d4
3,3,b,clear,7,19,889856,467710,13,164242,21582,50444,998,0.1314,475,g8f6,f8g7
3,4,w,clear,7,21,830464,449140,25,166887,22224,45922,815,0.1332,477,e2e4,e2e4
3,5,b,clear,7,20,706780,393706,32,142786,16940,34877,449,0.1186,422,b8c6,d7d6
3,6,w,clear,7,22,793742,426983,7,126763,16695,35302,554,0.1317,430,g1f3,b1c3
3,7,b,clear,7,23,759808,437959,16,162949,14616,35113,461,0.0897,475,g8f6,b8d7
3,8,w,clear,6,22,761856,439406,36,163697,16439,33971,405,0.1004,474,g1f3,g1f3
3,9,b,clear,6,24,649216,410020,22,181939,17089,33148,404,0.0939,474,c7c5,e7e5
3,10,w,clear,6,23,743424,452561,29,163424,14670,28952,241,0.0898,475,f1e2,f1e2
3,11,b,clear,7,23,654097,405629,9,153324,10470,24297,234,0.0683,437,g8f6,g8f6
3,12,w,clear,6,22,745472,464285,7,162608,12123,23717,172,0.0746,474,e1g1,e1g1
3,13,b,clear,7,24,670460,419280,12,161448,20321,29949,187,0.1259,411,e5d4,e5d4
3,14,w,clear,6,22,831488,510616,11,168771,8416,28671,338,0.0499,474,f3d4,c3d5
3,15,b,clear,7,22,699392,444420,5,165923,12027,32198,398,0.0725,475,f6e4,f6e4
3,16,w,clear,6,21,772096,473727,5,157884,12509,32272,363,0.0792,476,e2d3,f3d4
3,17,b,clear,7,22,667629,401834,2,141580,9908,29878,357,0.0700,415,c7c6,c7c6
3,18,w,clear,7,22,864795,477946,1,119043,15419,31170,329,0.1295,419,d5c3,d5c3
3,19,b,clear,6,22,799744,484184,2,165678,8518,30563,354,0.0514,475,e4c3,e4c3
3,20,w,clear,7,24,809984,489729,24,178196,13418,34646,455,0.0753,478,b2c3,b2c3
3,21,b,clear,7,23,732650,449263,26,171616,10838,31578,421,0.0632,451,e8g8,e8g8
3,22,w,clear,6,22,808960,505379,36,189881,11483,32598,334,0.0605,475,c1e3,f1e1
3,23,b,clear,6,20,784384,493207,22,191820,12168,35313,493,0.0634,475,c6c5,c6c5
3,24,w,clear,7,25,820224,516025,6,189579,12818,35144,456,0.0676,474,d4b5,d4f3
3,25,b,clear,8,18,866249,484756,12,147154,21790,37561,424,0.1481,417,g7c3,g7c3
3,26,w,clear,7,17,756272,425212,11,121609,17628,31771,317,0.1450,362,c1g5,a1b1
3,27,b,clear,7,18,992256,547243,11,153919,15255,40019,552,0.0991,475,c3e1,c3e1
