# experiment=tt_sweep engine=helix-f3270d5 date=20260808-012157
# suite=tests/data/stockfish-bench-all.epd budget_ms=1000 reps=3 mb=1,4,16,64,256 entry_bytes=32 positions=309
fen_id,tt_mb,rep,completed_depth,seldepth,nodes,qnodes,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,stop_reason
59,1,1,8,23,1920000,1076450,355329,24024,89833,49642,0.0676,951,a6b5,hard_time
59,1,2,8,23,1922048,1078368,356670,24063,89889,49667,0.0675,950,a6b5,hard_time
60,1,0,6,21,1603584,1011454,401052,19276,77467,39403,0.0481,949,c4b3,hard_time
60,1,1,6,21,1584128,1001271,399436,19250,76738,38783,0.0482,950,c4b3,hard_time
60,1,2,6,21,1626112,1023174,402984,19314,78343,40145,0.0479,950,c4b3,hard_time
61,1,0,7,21,1704960,999980,409436,31231,91479,48444,0.0763,949,b5b4,hard_time
61,1,1,7,21,1702912,998788,409040,31215,91416,48388,0.0763,950,b5b4,hard_time
61,1,2,7,21,1692672,993133,407462,31143,91040,48061,0.0764,949,b5b4,hard_time
62,1,0,8,22,1828864,1021063,416417,33122,97465,57928,0.0795,950,b4b3,hard_time
62,1,1,8,22,1812480,1012510,414670,33042,96940,57450,0.0797,949,b4b3,hard_time
62,1,2,8,22,1808384,1010410,414343,33033,96806,57336,0.0797,951,b4b3,hard_time
63,1,0,8,21,1630208,918180,440572,36203,106701,68633,0.0822,950,c6d4,hard_time
63,1,1,8,21,1623040,914379,439198,36143,106284,68247,0.0823,949,c6d4,hard_time
63,1,2,8,21,1633280,919769,441149,36222,106923,68842,0.0821,950,c6d4,hard_time
64,1,0,8,21,1660608,930972,353134,20169,85732,50597,0.0571,867,e7f6,soft_time
64,1,1,8,21,1660608,930972,353134,20169,85732,50597,0.0571,859,e7f6,soft_time
64,1,2,8,21,1660608,930972,353134,20169,85732,50597,0.0571,849,e7f6,soft_time
65,1,0,7,20,1768448,1016648,409309,35057,85986,42154,0.0856,949,e8d8,hard_time
65,1,1,7,20,1785856,1026344,412205,35201,86594,42646,0.0854,950,e8d8,hard_time
65,1,2,7,20,1741824,1001794,404557,34870,85083,41428,0.0862,949,e8d8,hard_time
66,1,0,8,20,1456128,864197,499471,40137,102518,64307,0.0804,949,c6b4,hard_time
66,1,1,8,20,1455104,863437,498824,40116,102442,64238,0.0804,950,c6b4,hard_time
