# experiment=time_to_quality engine=helix-f3270d5 date=20260808-053245
# suite=tests/data/stockfish-bench-all.epd nmp=off reps=3 positions=309
# scored with stockfish depth=20
fen_id,fen,budget_ms,rep,nmp,bestmove,completed_depth,nodes,time_ms,stop_reason,sf_best,sf_eval_best,sf_eval_played,cpl,agreement
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,250,0,off,f5d3,6,355328,237,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,250,1,off,f5d3,6,356352,236,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,250,2,off,f5d3,6,351232,237,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,500,0,off,f5d3,6,822272,475,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,500,1,off,f5d3,6,840704,475,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,500,2,off,f5d3,6,840704,474,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,1000,0,off,f5d3,7,1312982,719,soft_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,1000,1,off,f5d3,7,1312982,712,soft_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,1000,2,off,f5d3,7,1312982,724,soft_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,2000,0,off,f5d3,7,3610624,1899,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,2000,1,off,f5d3,7,3535872,1900,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,2000,2,off,f5d3,7,3567616,1900,hard_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,5000,0,off,f5d3,8,6504796,4328,soft_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,5000,1,off,f5d3,8,6504796,4303,soft_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,5000,2,off,f5d3,8,6504796,4235,soft_time,f5d3,18,18,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,10,0,off,f7e6,4,11382,6,soft_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,10,1,off,f7e6,4,11382,6,soft_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,10,2,off,f7e6,4,11382,6,soft_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,25,0,off,f7e6,4,38912,23,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,25,1,off,f7e6,4,38912,23,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,25,2,off,f7e6,4,36864,22,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,50,0,off,f7e6,5,103424,47,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,50,1,off,f7e6,5,97280,46,hard_time,f7e6,43,43,0,1
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,50,2,off,f7e6,5,94208,46,hard_time,f7e6,43,43,0,1
